"rep","n","method","R2","RMSE"
41,250,"mcp",-0.0185272368585241,5.08078871123604
41,500,"mcp",0.116124429825037,3.99545937495298
41,1000,"mcp",0.438103437508039,3.13416523715926
42,10,"mcp",-98.887679003679,2.63897955286136
42,20,"mcp",-0.0937553763473409,4.57143834626153
42,50,"mcp",-0.500104805339347,4.58020853697533
42,100,"mcp",-0.0442202370883473,4.79004208549275
42,250,"mcp",-0.146193472531493,4.37058021375776
42,500,"mcp",0.226393893793965,3.94291730307831
42,1000,"mcp",0.386440125821999,3.47691755863803
43,10,"mcp",0.693857069460189,1.37536552606371
43,20,"mcp",-2.14249928895779,5.66469574686174
43,50,"mcp",-0.214541506603651,3.62285961874928
43,100,"mcp",-0.0314409921268575,3.77308341105634
43,250,"mcp",0.0982192149982736,3.65251601805997
43,500,"mcp",0.205254073769418,3.64368510584037
43,1000,"mcp",0.259422264556241,3.29608852829063
44,10,"mcp",-18.0806778999661,9.65436504454027
44,20,"mcp",-0.12104267511328,4.64898640990489
44,50,"mcp",-0.130570723964196,4.71020018942222
44,100,"mcp",-0.0426782435609485,4.2116304871715
44,250,"mcp",-0.0599112996450524,4.25680726410363
44,500,"mcp",0.244457769658568,3.78512815794531
44,1000,"mcp",0.522522354808839,3.20129082777076
45,10,"mcp",-12.7718559396888,8.73100003133986
45,20,"mcp",-2.07155917814417,6.09947965389961
45,50,"mcp",-0.12036427754202,4.27101514184715
45,100,"mcp",0.0461578447078996,3.52715286537325
45,250,"mcp",0.07754848170003,3.38281179711866
45,500,"mcp",0.0337669305155887,4.21885873443071
45,1000,"mcp",0.369623114543575,3.28812151101075
46,10,"mcp",-6.73162374990204,3.47041207994153
46,20,"mcp",-1.44258221956894,4.77920868640325
46,50,"mcp",-0.0653573266927145,4.30240938401125
46,100,"mcp",-0.324474458124574,4.30451007484332
46,250,"mcp",0.113193246485594,3.79097459619918
46,500,"mcp",0.0849420501450433,3.53764455020124
46,1000,"mcp",0.367690421127143,3.4899148305315
47,10,"mcp",-3.97844921925128,6.28321802528702
47,20,"mcp",-0.0863417767711441,1.2072811707988
47,50,"mcp",-0.197444079980513,4.57925944053833
47,100,"mcp",-0.0291344156307727,3.19418655274007
47,250,"mcp",0.0310720007709397,4.8652303294034
47,500,"mcp",0.122974878811275,4.20140622068815
47,1000,"mcp",0.411752043180579,3.3807445927965
48,10,"mcp",-2.34995882775042,3.92468743994345
48,20,"mcp",-2.68552648753209,5.71162837098643
48,50,"mcp",-0.432416006647964,5.41972191937905
48,100,"mcp",-0.231505549147034,4.27778991948209
48,250,"mcp",0.144627409020038,4.08115869857579
48,500,"mcp",0.251545818528885,3.3610070057286
48,1000,"mcp",0.324888580666703,3.42020735814375
49,10,"mcp",-0.271962216223748,3.34950283914067
49,20,"mcp",-0.115852343546585,6.47643299939964
49,50,"mcp",-0.109954773654142,3.0241548256283
49,100,"mcp",-0.0147910028347971,3.17564673843749
49,250,"mcp",0.0380789991564239,4.23838297737059
49,500,"mcp",0.305210190493887,3.92556030520344
49,1000,"mcp",0.338733574411449,3.25785680951658
50,10,"mcp",-7.88381599611628,9.62816295180046
50,20,"mcp",-0.0557630574070742,5.91916214310504
50,50,"mcp",-2.37098418459725,4.78338596793775
50,100,"mcp",-0.126722833955875,6.10610686579696
50,250,"mcp",0.18764356424595,4.09135156743154
50,500,"mcp",0.292430764829031,3.59203973523255
50,1000,"mcp",0.262051940957854,3.59319551970542
51,10,"mcp",-1.47574526551218,3.34365337295162
51,20,"mcp",-0.0769698138296171,3.69324252203668
51,50,"mcp",-0.063922808383843,4.12314111088549
51,100,"mcp",-0.0494850053690861,4.45697487236417
51,250,"mcp",-0.0138485832482642,4.32989335714313
51,500,"mcp",0.147592698163633,4.17587012832804
51,1000,"mcp",0.417793673379229,3.30915238439345
52,10,"mcp",-2.15964830738479,8.74531373718127
52,20,"mcp",-3.15528396881529,4.55751103309397
52,50,"mcp",-8.80573479766777e-05,5.31885424852838
52,100,"mcp",-0.0447213885516538,4.4863689831373
52,250,"mcp",0.034579553248521,5.19461606694255
52,500,"mcp",0.119227284174625,4.42434041592252
52,1000,"mcp",0.303840100122536,3.554745804748
53,10,"mcp",-3.58853869539233,3.31131129917217
53,20,"mcp",-0.10606716970457,3.0311731966755
53,50,"mcp",-0.00965507169537205,7.2662958796947
53,100,"mcp",-0.068549500441623,4.69916462317909
53,250,"mcp",-0.00104918605372717,4.93398694484913
53,500,"mcp",-0.183577587965267,4.59595440601047
53,1000,"mcp",0.374416145685234,3.48398783436899
54,10,"mcp",-9.55428660069869,6.76794398979669
54,20,"mcp",-0.432281458190255,3.91330630671162
54,50,"mcp",-0.221929766406352,5.69989728575734
54,100,"mcp",-0.00465118683678356,5.00465331337352
54,250,"mcp",-0.0403253350249786,4.47898064740167
54,500,"mcp",0.175218397775593,3.51149624498161
54,1000,"mcp",0.333328496010707,3.57203716771787
55,10,"mcp",-0.127538940560391,5.90981896652048
55,20,"mcp",-0.241550077918063,5.70197400163504
55,50,"mcp",-0.329478484676282,5.03083172366423
55,100,"mcp",-0.0340680930826955,4.03428118965013
55,250,"mcp",-0.125184375140698,4.47596210923299
55,500,"mcp",0.0977664899296888,4.46847855796669
55,1000,"mcp",0.313746949904363,3.67454797376628
56,10,"mcp",-3.08166310682598,2.09812469432967
56,20,"mcp",-0.125661083294551,4.09322408601052
56,50,"mcp",-0.105318015461728,2.93383918725028
56,100,"mcp",-0.0001200848394729,5.28207582488836
56,250,"mcp",-0.0737410955302469,4.04774153609512
56,500,"mcp",0.112848283335944,4.11233667307224
56,1000,"mcp",0.472591142842243,3.17709744511086
57,10,"mcp",-0.74170071756812,3.55191274176382
57,20,"mcp",-0.0061221085103691,4.89474337344215
57,50,"mcp",-0.100341880907524,4.65383995600522
57,100,"mcp",-0.0593427096250616,4.27795232531079
57,250,"mcp",0.11716005374212,3.8199601835631
57,500,"mcp",0.0669413302072528,4.0564197902713
57,1000,"mcp",0.258602971768939,3.47665120464743
58,10,"mcp",-0.176448746903688,5.56045181445204
58,20,"mcp",-0.0500949578038152,5.42860530326901
58,50,"mcp",-0.167123824549119,2.09063571201851
58,100,"mcp",-0.0522714155096238,4.63657754498822
58,250,"mcp",-0.033801866197853,3.82463089768564
58,500,"mcp",0.128828616086312,4.24019664386168
58,1000,"mcp",0.520570768592095,3.26491601692346
59,10,"mcp",-0.0131663243603608,8.02116249866102
59,20,"mcp",-0.479250449289149,5.12921611736794
59,50,"mcp",-0.143758167238839,4.67926678198755
59,100,"mcp",0.0542524766020909,4.51346983860903
59,250,"mcp",0.147869436490886,4.06178011662065
59,500,"mcp",0.349922610540682,3.57849938197774
59,1000,"mcp",0.449600087395091,3.10972812102872
60,10,"mcp",-7.19542259626878,4.409199912439
60,20,"mcp",-0.443559826724467,4.20810257410742
60,50,"mcp",-0.109600740557316,5.75720845928506
60,100,"mcp",-0.0323017508223815,3.97211496804027
60,250,"mcp",0.0951481609418254,4.8410843827884
60,500,"mcp",0.145035366753684,3.78360205604735
60,1000,"mcp",0.454970971315545,3.3487344172211
61,10,"mcp",-2.23265516255018,1.81826698612055
61,20,"mcp",-2.29543911651931,2.5735647448075
61,50,"mcp",-0.00645725529130226,5.2057636945371
61,100,"mcp",-0.00659203904532046,5.04542995229057
61,250,"mcp",0.0914901349654749,4.49265621176317
61,500,"mcp",0.290922566720516,3.71288834638195
61,1000,"mcp",0.36040108976428,3.78111326927955
62,10,"mcp",-0.802642253857777,4.73042518930793
62,20,"mcp",-2.16504916872239,5.81414836649663
62,50,"mcp",-0.0747940970609038,3.86367206129362
62,100,"mcp",-0.117338221692621,4.75535847868062
62,250,"mcp",0.052753412757105,3.49356982662229
62,500,"mcp",0.0894740708085385,3.92734296353443
62,1000,"mcp",0.245326830530072,3.88488429139562
63,10,"mcp",-0.974400346854538,1.84757837096745
63,20,"mcp",-0.473216205268519,3.7660124858669
63,50,"mcp",-0.174002784017289,3.89323196042501
63,100,"mcp",-0.000359867705337136,3.20025807655654
63,250,"mcp",0.0495958692859572,4.46210142099818
63,500,"mcp",0.0886008467213013,4.10462990526476
63,1000,"mcp",0.335586636298615,3.39877057853636
64,10,"mcp",-9.17679561840707,5.74103551511506
64,20,"mcp",-0.168595297587792,4.96483272277607
64,50,"mcp",-1.08732213474031,6.327299499809
64,100,"mcp",-0.0828772959027189,4.82837767828319
64,250,"mcp",0.165380193194504,4.07248813590177
64,500,"mcp",0.0918114300450509,4.76853140149042
64,1000,"mcp",0.395017647845745,3.36139423349767
65,10,"mcp",-1.11883418587935,3.13968593519304
65,20,"mcp",-8.61712125467167,5.54493810343375
65,50,"mcp",-0.0267764809576392,4.02810942218137
65,100,"mcp",0.00484424473371869,4.4094907012792
65,250,"mcp",0.0426121991574507,3.6188118826559
65,500,"mcp",0.0898636805813788,4.26997486922227
65,1000,"mcp",0.31413528705966,3.53855561032638
66,10,"mcp",-0.845672177712175,4.42552737875555
66,20,"mcp",0.289150549596778,2.41429207257601
66,50,"mcp",-0.11632398029513,5.71120116950174
66,100,"mcp",-0.0121887640294644,4.02368076174049
66,250,"mcp",-2.47612503117001e-05,4.92404875772102
66,500,"mcp",0.19407939542598,4.25540920658368
66,1000,"mcp",0.351255006397718,3.53973703342362
67,10,"mcp",-2.62286486573852,2.49395151988973
67,20,"mcp",-0.000850297949118062,4.41559888474333
67,50,"mcp",-0.00648846896047339,4.68561231786781
67,100,"mcp",-0.100603759506683,4.48215390277007
67,250,"mcp",0.130877770716064,3.83036162062035
67,500,"mcp",0.0137762086767902,4.00881652626459
67,1000,"mcp",0.287534070138284,3.54776857560113
68,10,"mcp",-30.9822040837689,5.04509061984205
68,20,"mcp",-0.430871359460812,4.60387065466212
68,50,"mcp",-0.209853154190865,3.95007271232917
68,100,"mcp",-0.121798221340941,4.10328731074677
68,250,"mcp",0.0543153629583341,4.50067219249154
68,500,"mcp",0.170176182158409,3.96310855969857
68,1000,"mcp",0.272723901974393,3.62970883794432
69,10,"mcp",-4.00747742620534,7.09778916337871
69,20,"mcp",-1.04084711288674,4.53297944800132
69,50,"mcp",-0.00870317698258383,2.78967533008257
69,100,"mcp",-2.99643710577335e-06,4.61477578469693
69,250,"mcp",0.0817500814387333,4.13077625457111
69,500,"mcp",0.181312092380801,3.6411833462233
69,1000,"mcp",0.303052698749042,3.70355409083498
70,10,"mcp",-276.252632372406,4.22133362124404
70,20,"mcp",-0.178075264912168,2.13117278694924
70,50,"mcp",-0.0289676475615923,5.59037051675983
70,100,"mcp",-0.00231351977185534,5.00059999636783
70,250,"mcp",0.102975214883551,4.02111708504976
70,500,"mcp",0.139320394087583,3.83443940009238
70,1000,"mcp",0.202891670685729,3.8342775650019
71,10,"mcp",-6.50512375437524,3.80118420982809
71,20,"mcp",-0.642412564585344,3.31867448314831
71,50,"mcp",-0.0683036457549413,5.50865541959287
71,100,"mcp",-0.131074964143226,4.51206691737471
71,250,"mcp",0.140195519169897,4.27226719813534
71,500,"mcp",0.233084078241749,3.88631102414872
71,1000,"mcp",0.356172409058481,3.69332807286243
72,10,"mcp",-0.017987510361634,1.77066986998637
72,20,"mcp",-0.212076684774353,3.37367857285391
72,50,"mcp",-0.0340207360344242,3.83896166194137
72,100,"mcp",-0.30667175407348,4.70502594656219
72,250,"mcp",-0.00548717431698553,4.67063837991325
72,500,"mcp",0.148258037426173,4.34166718595222
72,1000,"mcp",0.309420990877789,3.75748547607575
73,10,"mcp",-0.330892062277968,5.16744593847701
73,20,"mcp",-0.934489711997163,4.38375804523851
73,50,"mcp",-0.109957554325993,4.66376130352317
73,100,"mcp",0.00805169712259068,3.81258844951319
73,250,"mcp",0.186479162968149,4.09405542967292
73,500,"mcp",0.249590472962118,3.80372468493071
73,1000,"mcp",0.371068762417316,3.45714511195871
74,10,"mcp",0.843872239066053,0.632762220011032
74,20,"mcp",-0.0193704731791189,2.14357194084968
74,50,"mcp",-0.134735939169182,2.54734072017705
74,100,"mcp",-0.451791280342195,4.60120156306792
74,250,"mcp",0.221898935552952,4.09619541239847
74,500,"mcp",0.309290896280836,3.73497153290395
74,1000,"mcp",0.517200003663064,3.22594456604394
75,10,"mcp",-0.702260829044373,6.48850214715653
75,20,"mcp",-0.0663861862001704,1.88136922418783
75,50,"mcp",-0.0396840120063162,5.6561535133957
75,100,"mcp",-0.467587144784501,4.29065796719659
75,250,"mcp",0.129678124708931,5.04688113564198
75,500,"mcp",0.127350010024126,4.49602763923207
75,1000,"mcp",0.487412869060299,3.40113420665117
76,10,"mcp",-7.69265913720399,1.93329225671208
76,20,"mcp",-0.108812420236462,4.25049985396127
76,50,"mcp",-0.182990481071662,7.47532541256949
76,100,"mcp",-0.00284413436556807,4.5313604310039
76,250,"mcp",0.263111995328739,4.53849672830574
76,500,"mcp",0.168379992719811,3.99110179470316
76,1000,"mcp",0.328310088408249,3.48343716990641
77,10,"mcp",-61.8950853578038,7.60849627171514
77,20,"mcp",-5.85997956762755,3.38051810496929
77,50,"mcp",0.0102560933814202,5.77028144364746
77,100,"mcp",-0.240111152051577,4.40853039362198
77,250,"mcp",0.0119624560815957,5.17119978975341
77,500,"mcp",0.12485629013426,4.41455917771733
77,1000,"mcp",0.350145519140704,3.43968078835922
78,10,"mcp",-0.596524096670496,2.10180386340395
78,20,"mcp",-5.21573973638187,4.32218996573158
78,50,"mcp",-0.290501484296411,3.91902179761104
78,100,"mcp",-0.0431571643774042,3.50723446689461
78,250,"mcp",-0.0148411576028833,4.28463750850363
78,500,"mcp",0.061863641598163,4.01659912323109
78,1000,"mcp",0.42859011895079,3.1071786582948
79,10,"mcp",-123.757449744317,3.50838156022551
79,20,"mcp",-3.15768529571328,3.29521936437613
79,50,"mcp",0.0529484730187617,4.14046481837256
79,100,"mcp",-0.00674565700693197,4.57170866180872
79,250,"mcp",0.042602236751706,3.94677169333657
79,500,"mcp",0.143798816468941,4.37023596028439
79,1000,"mcp",0.351434780714888,3.39944111434297
80,10,"mcp",-0.167404870861417,4.73269281058116
80,20,"mcp",-3.85322018852009,6.1909184283684
80,50,"mcp",-0.280216340704448,3.86101433607703
80,100,"mcp",-0.00917556285170917,4.16247024557054
80,250,"mcp",0.10864136997445,4.06514356924534
80,500,"mcp",0.241070693091296,3.37323498220719
80,1000,"mcp",0.250543285989878,3.4713380034739
81,10,"mcp",-0.191832653022569,3.15419945243954
81,20,"mcp",-0.00447333070117906,3.92177176789309
81,50,"mcp",-0.24613577580724,5.29271500552671
81,100,"mcp",-0.0822319718489202,4.30026468299457
81,250,"mcp",-0.0350626062922961,4.30448765228374
81,500,"mcp",0.156928218805363,3.99864497960815
81,1000,"mcp",0.328273376497664,3.63205979027355
82,10,"mcp",-1.19661169202237,5.38301419944032
82,20,"mcp",-0.0573963183010582,3.5035571749827
82,50,"mcp",-0.295357812849797,2.49005891434908
82,100,"mcp",-0.106509123862726,4.95466473846176
82,250,"mcp",-0.215334808355799,3.6878714022036
82,500,"mcp",0.172299717195169,3.37758863689194
82,1000,"mcp",0.240666119917398,3.46885237375596
83,10,"mcp",-1906.88302431111,2.24928441686317
83,20,"mcp",-0.521818738487276,3.56159786434935
83,50,"mcp",-0.0645952474428959,4.03331067200162
83,100,"mcp",-0.113283709851614,3.72664196931429
83,250,"mcp",-0.0588447128276002,4.563616414902
83,500,"mcp",0.29427819844136,3.58328462597333
83,1000,"mcp",0.368385870252127,3.70656693238494
84,10,"mcp",-0.390781543106659,2.01032437473192
84,20,"mcp",-1.97816295865797,8.89717700589951
84,50,"mcp",-0.014449235102771,4.76358572896106
84,100,"mcp",-0.183381140136347,4.12416251811241
84,250,"mcp",0.00182715763779018,4.29721859445672
84,500,"mcp",0.195429586113481,3.79596138327412
84,1000,"mcp",0.339974725150928,3.60213520791453
85,10,"mcp",-168.331684031867,3.29532221575015
85,20,"mcp",-0.142718709604006,3.3039057184709
85,50,"mcp",-0.00143975985883649,2.6255274733755
85,100,"mcp",-0.0293789887327556,3.80750757906395
85,250,"mcp",0.00700443472627488,3.1516179694995
85,500,"mcp",0.14165556565574,3.83181995032959
85,1000,"mcp",0.343621224992037,3.49185249750545
86,10,"mcp",-3.45542728475723,6.24487962774593
86,20,"mcp",-0.000443043447529545,5.90279843587528
86,50,"mcp",-0.2826939321886,4.9351663609155
86,100,"mcp",0.186012847362805,4.63353473195305
86,250,"mcp",0.0469459264593369,4.97272339615085
86,500,"mcp",0.227273157226819,3.81534068987833
86,1000,"mcp",0.369750067945196,3.37513963028974
87,10,"mcp",-0.0613617478378552,5.74302264359614
87,20,"mcp",-0.00309172979280614,6.56931813271969
87,50,"mcp",0.0223596654519544,3.61993796743589
87,100,"mcp",0.0189670017004556,4.6984244710183
87,250,"mcp",-0.0653929908618027,4.48210583155977
87,500,"mcp",0.130609186068458,4.75951436990281
87,1000,"mcp",0.424315898339725,3.3705822508167
88,10,"mcp",-3.97901239702123,1.17715112517064
88,20,"mcp",-1.33725141875678,6.66248145073153
88,50,"mcp",-1.0418844636448,3.88016314494458
88,100,"mcp",-0.174412926751909,4.34289788836048
88,250,"mcp",-0.0398425017871897,4.7357010460576
88,500,"mcp",0.264953077652755,3.45292327663508
88,1000,"mcp",0.439709056546733,3.52531521773661
89,10,"mcp",-0.00145181107747772,0.997444431764771
89,20,"mcp",-0.175571452202432,5.25330596646435
89,50,"mcp",-0.110141033215416,5.80710703705231
89,100,"mcp",-0.0265399039800467,3.90829532462749
89,250,"mcp",0.0741919220095675,4.49664500268677
89,500,"mcp",0.0627599636210101,3.9843592825709
89,1000,"mcp",0.33737231889958,3.60760880383109
90,10,"mcp",-0.27409066908621,8.16561032798698
90,20,"mcp",0.238800770825637,4.52260608869646
90,50,"mcp",0.226260226936287,2.53420561928645
90,100,"mcp",-0.117322420486703,4.75528497923649
90,250,"mcp",0.00729286899060266,4.64958868405541
90,500,"mcp",0.130885649167944,4.21231195410006
90,1000,"mcp",0.287013749430076,3.70033480853256
91,10,"mcp",-66.4160930201984,6.013647788092
91,20,"mcp",-0.987187492579234,3.58653433597432
91,50,"mcp",-0.0389477378923531,5.26461604207887
91,100,"mcp",-0.0405076786516789,4.13971449473475
91,250,"mcp",-0.150630016927419,3.72227664406333
91,500,"mcp",0.0590531532980794,4.15039351249471
91,1000,"mcp",0.365816795030701,3.59056297308328
92,10,"mcp",0.0722944994706215,1.83057890154014
92,20,"mcp",-6.52401306914323,4.57245921663367
92,50,"mcp",-0.464254845939071,4.6047963689332
92,100,"mcp",-0.0933469564611145,3.52575021474998
92,250,"mcp",0.0546153487851668,4.76597749589645
92,500,"mcp",0.121186545775674,4.02851651732804
92,1000,"mcp",0.119125808509924,3.63646853726196
